freq,unit,spdeps,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EXP,SPBENEFNOREROUTE,AL	: 	: 	: 	: 	: 	: 	: 	: 	98.29 p	98.31 p	98.35 p	98.25 p
A,PC_EXP,SPBENEFNOREROUTE,AT	97.29 	97.28 	97.24 	97.22 	97.36 	97.40 	97.19 	97.37 	97.48 	97.45 	97.71 	97.70 
A,PC_EXP,SPBENEFNOREROUTE,BA	: 	: 	: 	96.48 	95.97 	95.74 	95.49 	95.23 	96.01 	96.92 	96.64 	96.86 
A,PC_EXP,SPBENEFNOREROUTE,BE	95.00 	95.56 	95.57 	95.88 	95.87 	95.79 	94.82 	94.46 	95.11 	95.18 	95.59 	95.34 
A,PC_EXP,SPBENEFNOREROUTE,BG	97.13 	97.03 	97.04 	96.53 	96.93 	97.12 	97.38 	97.51 	97.27 	96.69 	97.32 	96.79 
A,PC_EXP,SPBENEFNOREROUTE,CH	95.24 	95.31 	95.34 	94.27 	93.93 	93.83 	93.93 	93.95 	93.87 	93.94 	94.26 	93.68 
A,PC_EXP,SPBENEFNOREROUTE,CY	98.36 	95.13 	94.82 	90.97 	97.91 	97.55 	97.73 	97.74 	97.45 	98.17 	97.62 	97.92 
A,PC_EXP,SPBENEFNOREROUTE,CZ	96.86 	96.97 	97.08 	97.07 	97.09 	97.13 	97.10 	97.06 	97.05 	97.08 	97.21 	97.08 
A,PC_EXP,SPBENEFNOREROUTE,DE	95.55 	95.57 	95.63 	95.59 	95.64 	95.75 	95.84 	95.80 	95.76 	95.95 	96.01 	96.11 p
A,PC_EXP,SPBENEFNOREROUTE,DK	96.53 	97.03 	96.36 	95.75 	95.97 	95.83 	95.70 	95.78 	95.64 	95.69 	95.91 	95.89 
A,PC_EXP,SPBENEFNOREROUTE,EA19	95.19 	95.23 	95.12 	95.21 	95.25 	95.43 	95.48 	95.45 p	95.52 p	95.68 p	95.20 p	95.48 p
A,PC_EXP,SPBENEFNOREROUTE,EA20	95.20 	95.24 	95.13 	95.21 	95.25 	95.43 	95.49 	95.46 p	95.53 p	95.69 p	95.21 p	95.49 p
A,PC_EXP,SPBENEFNOREROUTE,EE	98.92 	98.90 	98.82 	98.82 	98.79 	98.81 	98.70 	98.43 	98.55 	98.58 	98.32 	98.14 
A,PC_EXP,SPBENEFNOREROUTE,EL	98.17 	98.08 	97.97 	97.59 	98.19 	98.68 	98.78 	98.82 p	98.92 p	98.89 p	98.90 p	98.89 p
A,PC_EXP,SPBENEFNOREROUTE,ES	98.06 	98.18 	98.10 	98.09 	98.18 	98.17 	98.24 	98.24 	98.27 	98.34 p	98.44 p	98.40 p
A,PC_EXP,SPBENEFNOREROUTE,EU27_2020	95.45 	95.52 	95.40 	95.46 	95.50 	95.65 	95.68 	95.66 p	95.72 p	95.90 p	95.46 p	95.75 p
A,PC_EXP,SPBENEFNOREROUTE,FI	97.30 	97.35 	97.45 	97.40 	97.50 	98.28 	98.33 	98.30 	98.28 	98.33 	98.41 	98.34 
A,PC_EXP,SPBENEFNOREROUTE,FR	93.26 	93.36 	92.84 	93.08 	93.02 	93.19 	93.29 	93.08 	93.07 	93.43 	92.36 	93.17 p
A,PC_EXP,SPBENEFNOREROUTE,HR	97.68 	97.90 	98.02 	97.95 	98.15 	98.27 	98.30 	98.32 	98.27 	98.25 	98.27 	98.28 
A,PC_EXP,SPBENEFNOREROUTE,HU	97.72 	98.96 	98.98 	98.84 	98.71 	98.53 b	98.50 	98.48 	98.46 	98.36 	98.08 	98.09 
A,PC_EXP,SPBENEFNOREROUTE,IE	96.17 	95.99 	96.45 	96.25 	96.13 	95.84 	95.90 	95.88 	95.97 	95.95 	96.58 	96.38 
A,PC_EXP,SPBENEFNOREROUTE,IS	98.96 	98.99 	99.10 	99.08 	99.22 	99.21 	99.38 	99.26 	99.20 	99.33 	99.35 	99.08 
A,PC_EXP,SPBENEFNOREROUTE,IT	95.94 	96.07 	95.99 	96.16 	96.25 	96.39 	96.26 	96.43 	96.62 	96.75 p	96.70 p	96.84 p
A,PC_EXP,SPBENEFNOREROUTE,LT	95.16 	95.41 	94.69 	94.06 	94.25 	94.44 	94.79 	95.59 	97.57 	97.77 	97.87 p	97.62 p
A,PC_EXP,SPBENEFNOREROUTE,LU	98.20 	98.34 	98.34 	98.33 	98.42 	98.42 	98.32 	98.38 	98.25 	98.30 	98.45 	98.42 
A,PC_EXP,SPBENEFNOREROUTE,LV	98.65 	98.32 	98.55 	98.28 	98.58 	98.56 	98.54 	98.53 	98.52 	98.61 p	98.59 p	98.68 
A,PC_EXP,SPBENEFNOREROUTE,ME	: 	: 	: 	: 	: 	: 	97.24 	97.06 	97.09 	97.08 	97.28 	97.49 p
A,PC_EXP,SPBENEFNOREROUTE,MK	: 	: 	: 	: 	: 	98.23 	98.50 	98.67 	: 	: 	: 	: 
A,PC_EXP,SPBENEFNOREROUTE,MT	98.91 	98.99 	98.97 	98.95 	98.97 	98.96 	98.91 	99.02 	99.02 	98.99 	99.17 	99.15 
A,PC_EXP,SPBENEFNOREROUTE,NL	91.71 	91.47 	91.77 	92.26 	92.16 	92.69 	93.75 	94.00 	93.88 	93.64 	89.46 	90.40 
A,PC_EXP,SPBENEFNOREROUTE,NO	97.86 	97.93 	97.91 	97.91 	98.02 	98.09 	98.13 	98.19 	98.23 	98.29 	98.28 	98.30 
A,PC_EXP,SPBENEFNOREROUTE,PL	97.56 	97.53 	97.54 	97.76 	97.77 	97.83 	96.60 	96.77 	97.24 	98.33 	98.33 	98.37 
A,PC_EXP,SPBENEFNOREROUTE,PT	94.51 	94.11 	94.56 	94.38 	94.86 	96.18 	95.56 	95.69 	96.25 	96.14 	96.03 	95.42 
A,PC_EXP,SPBENEFNOREROUTE,RO	98.94 	99.02 	98.91 	97.86 	97.87 	97.77 	98.42 	98.03 	98.12 	98.09 	95.73 	98.05 
A,PC_EXP,SPBENEFNOREROUTE,RS	97.64 	97.78 	97.58 	97.90 	98.09 	97.91 	97.51 	97.69 	98.10 	97.44 	92.53 	94.67 
A,PC_EXP,SPBENEFNOREROUTE,SE	98.09 	98.10 	98.06 	98.10 	98.08 	98.01 	98.06 	98.00 	98.05 	98.07 	98.14 	98.26 p
A,PC_EXP,SPBENEFNOREROUTE,SI	97.90 	98.14 	98.14 	98.32 	98.20 	98.30 	98.39 	98.40 	98.36 	98.38 	98.41 p	98.62 p
A,PC_EXP,SPBENEFNOREROUTE,SK	96.93 	97.23 	97.27 	97.27 	97.26 	97.38 	97.30 	97.26 	97.33 	97.17 	97.51 	97.87 
A,PC_EXP,SPBENEFNOREROUTE,TR	98.51 	98.49 	98.48 e	98.19 	98.25 	98.16 	98.29 	98.14 	98.51 	98.37 	98.63 	98.53 
A,PC_EXP,SPBENEFNOREROUTE,UK	97.48 	98.69 	98.77 	98.88 	99.12 	99.21 	99.24 	99.30 	99.30 p	: 	: 	: 
