DATAFLOW,LAST UPDATE,FREQ,INDIC,UNIT,GEO,TIME_PERIOD,OBS_VALUE,OBS_FLAG
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,1995,27243.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,1996,28304.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,1997,28921.1,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,1998,29846.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,1999,31378.5,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2000,32022.4,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2001,32887.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2002,34020.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2003,34425.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2004,35623.2,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2005,36603,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2006,37496.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2007,39395.6,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2008,41117.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2009,41483.3,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2010,42625.9,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2011,44893.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2012,46779,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2013,47306.8,
TAXUD:TAX_TYPE(1.0),14/03/24 21:23:46,A,D2,MIO_EUR,AT,2014,48187.1,
